identifier,player_name,team,player_position,player_minutes_played,player_total_point_obtained,round,player_costs,second_name,first_name,photo,holding_period,Cost,Gain/Loss
Ederson-30713,Ederson,Man City,Goalkeeper,90,7,1,5.335,Santana de Moraes,Ederson,121160.jpg,3,5.335,0.0
Henderson-39816,Henderson,Nott'm Forest,Goalkeeper,90,3,1,4.41,Henderson,Dean,172649.jpg,2,4.41,0.0
Solanke-663,Solanke,Bournemouth,Forward,90,2,1,5.82,Solanke,Dominic,154566.jpg,3,5.82,0.0
Toney-804,Toney,Brentford,Forward,90,8,1,6.93,Toney,Ivan,144485.jpg,1,6.93,0.0
Mitrović-2109,Mitrović,Fulham,Forward,90,13,1,6.305,Mitrović,Aleksandar,128389.jpg,3,6.305,0.0
Haaland-31813,Haaland,Man City,Forward,77,13,1,11.27,Haaland,Erling,223094.jpg,2,11.27,0.0
Son-42818,Son,Spurs,Midfielder,90,5,1,11.76,Heung-min,Son,85971.jpg,2,11.76,0.0
Groß-1045,Groß,Brighton,Midfielder,90,15,1,5.335,Groß,Pascal,60307.jpg,3,5.335,0.0
Ward-Prowse-40717,Ward-Prowse,Southampton,Midfielder,90,9,1,6.435,Ward-Prowse,James,101178.jpg,1,6.435,0.0
Podence-48320,Podence,Wolves,Midfielder,90,10,1,5.279999999999999,Castelo Podence,Daniel,200600.jpg,4,5.279999999999999,0.0
Sterling-3046,Sterling,Chelsea,Midfielder,90,3,1,9.6,Sterling,Raheem,103955.jpg,4,9.6,0.0
James-1466,James,Chelsea,Defender,90,7,1,5.76,James,Reece,225796.jpg,4,5.76,0.0
Castagne-25810,Castagne,Leicester,Defender,90,8,1,4.365,Castagne,Timothy,166477.jpg,3,4.365,0.0
Cancelo-30613,Cancelo,Man City,Defender,90,7,1,6.93,Cancelo,João,121145.jpg,1,6.93,0.0
Burn-35815,Burn,Newcastle,Defender,90,6,1,4.455,Burn,Dan,78916.jpg,1,4.455,0.0
Henderson-39816,Henderson,Nott'm Forest,Goalkeeper,90,14,2,4.41,Henderson,Dean,172649.jpg,2,4.41,0.0
