identifier,player_name,team,player_position,player_minutes_played,player_total_point_obtained,round,player_costs,second_name,first_name,photo,holding_period,Cost
Sánchez-1135,Sánchez,Brighton,Goalkeeper,90,4,1,4.32,Sánchez,Robert,215059.jpg,4,4.32
Mendy-1476,Mendy,Chelsea,Goalkeeper,90,7,1,4.95,Mendy,Edouard,228286.jpg,1,4.95
Toney-804,Toney,Brentford,Forward,90,8,1,6.93,Toney,Ivan,144485.jpg,1,6.93
Welbeck-1035,Welbeck,Brighton,Forward,90,7,1,6.435,Welbeck,Danny,50175.jpg,1,6.435
Haaland-31813,Haaland,Man City,Forward,77,13,1,11.27,Haaland,Erling,223094.jpg,2,11.27
Salah-28312,Salah,Liverpool,Midfielder,90,12,1,12.87,Salah,Mohamed,118748.jpg,1,12.87
Maddison-26110,Maddison,Leicester,Midfielder,90,5,1,7.92,Maddison,James,172780.jpg,1,7.92
Ødegaard-71,Ødegaard,Arsenal,Midfielder,90,3,1,6.24,Ødegaard,Martin,184029.jpg,4,6.24
Ward-Prowse-40717,Ward-Prowse,Southampton,Midfielder,90,9,1,6.435,Ward-Prowse,James,101178.jpg,1,6.435
Groß-1045,Groß,Brighton,Midfielder,90,15,1,5.335,Groß,Pascal,60307.jpg,3,5.335
Cancelo-30613,Cancelo,Man City,Defender,90,7,1,6.93,Cancelo,João,121145.jpg,1,6.93
Dier-43018,Dier,Spurs,Defender,90,8,1,4.85,Dier,Eric,93264.jpg,3,4.85
Schär-36615,Schär,Newcastle,Defender,90,15,1,4.365,Schär,Fabian,119471.jpg,3,4.365
Zemura-763,Zemura,Bournemouth,Defender,90,6,1,4.455,Zemura,Jordan,447932.jpg,1,4.455
James-1466,James,Chelsea,Defender,90,7,1,5.76,James,Reece,225796.jpg,4,5.76
Sánchez-1135,Sánchez,Brighton,Goalkeeper,90,6,2,4.32,Sánchez,Robert,215059.jpg,4,4.32
Raya-814,Raya,Brentford,Goalkeeper,90,7,2,4.41,Raya Martin,David,154561.jpg,2,4.41
Toney-804,Toney,Brentford,Forward,90,9,2,6.93,Toney,Ivan,144485.jpg,1,6.93
Jesus-281,Jesus,Arsenal,Forward,83,19,2,7.84,Fernando de Jesus,Gabriel,205651.jpg,2,7.84
Haaland-31813,Haaland,Man City,Forward,73,5,2,11.368,Haaland,Erling,223094.jpg,2,11.368
Salah-28312,Salah,Liverpool,Midfielder,90,2,2,12.87,Salah,Mohamed,118748.jpg,1,12.87
Ødegaard-71,Ødegaard,Arsenal,Midfielder,90,2,2,6.24,Ødegaard,Martin,184029.jpg,4,6.24
Maddison-26110,Maddison,Leicester,Midfielder,90,7,2,7.92,Maddison,James,172780.jpg,1,7.92
Groß-1045,Groß,Brighton,Midfielder,90,3,2,5.4319999999999995,Groß,Pascal,60307.jpg,3,5.4319999999999995
Xhaka-31,Xhaka,Arsenal,Midfielder,90,12,2,4.95,Xhaka,Granit,84450.jpg,1,4.95
Aribo-51217,Aribo,Southampton,Midfielder,29,7,2,5.445,Ayodele-Aribo,Joe,193204.jpg,1,5.445
Cancelo-30613,Cancelo,Man City,Defender,90,11,2,6.93,Cancelo,João,121145.jpg,1,6.93
Schär-36615,Schär,Newcastle,Defender,90,5,2,4.462,Schär,Fabian,119471.jpg,3,4.462
James-1466,James,Chelsea,Defender,90,7,2,5.76,James,Reece,225796.jpg,4,5.76
Dier-43018,Dier,Spurs,Defender,90,1,2,4.85,Dier,Eric,93264.jpg,3,4.85
Raya-814,Raya,Brentford,Goalkeeper,90,3,3,4.41,Raya Martin,David,154561.jpg,2,4.41
Sánchez-1135,Sánchez,Brighton,Goalkeeper,90,8,3,4.32,Sánchez,Robert,215059.jpg,4,4.32
Kane-42718,Kane,Spurs,Forward,90,6,3,11.172,Kane,Harry,78830.jpg,2,11.172
Jesus-281,Jesus,Arsenal,Forward,90,4,3,7.938,Fernando de Jesus,Gabriel,205651.jpg,2,7.938
Toney-804,Toney,Brentford,Forward,90,8,3,7.029,Toney,Ivan,144485.jpg,1,7.029
Ward-Prowse-40717,Ward-Prowse,Southampton,Midfielder,90,7,3,6.435,Ward-Prowse,James,101178.jpg,1,6.435
Maddison-26110,Maddison,Leicester,Midfielder,90,7,3,7.92,Maddison,James,172780.jpg,1,7.92
Groß-1045,Groß,Brighton,Midfielder,90,6,3,5.529,Groß,Pascal,60307.jpg,3,5.529
Salah-28312,Salah,Liverpool,Midfielder,90,8,3,12.87,Salah,Mohamed,118748.jpg,1,12.87
Rashford-33514,Rashford,Man Utd,Midfielder,85,10,3,6.111,Rashford,Marcus,176297.jpg,3,6.111
Ødegaard-71,Ødegaard,Arsenal,Midfielder,73,16,3,6.144,Ødegaard,Martin,184029.jpg,4,6.144
Schär-36615,Schär,Newcastle,Defender,90,0,3,4.462,Schär,Fabian,119471.jpg,3,4.462
James-1466,James,Chelsea,Defender,90,1,3,5.856,James,Reece,225796.jpg,4,5.856
Dier-43018,Dier,Spurs,Defender,90,6,3,4.85,Dier,Eric,93264.jpg,3,4.85
Saliba-261,Saliba,Arsenal,Defender,90,14,3,4.32,Saliba,William,462424.jpg,4,4.32
