identifier,player_name,team,player_position,player_minutes_played,player_total_point_obtained,round,player_costs,second_name,first_name,photo,holding_period
White-101,White,Arsenal,Defender,90,5,1,4.5,White,Benjamin,198869.jpg,1
Gabriel-161,Gabriel,Arsenal,Defender,90,7,1,5.0,dos Santos Magalhães,Gabriel,226597.jpg,4
Saliba-261,Saliba,Arsenal,Defender,90,8,1,4.5,Saliba,William,462424.jpg,4
Clyne-1577,Clyne,Crystal Palace,Defender,90,0,1,4.5,Clyne,Nathaniel,57328.jpg,3
Andersen-1657,Andersen,Crystal Palace,Defender,90,1,1,4.5,Andersen,Joachim,174874.jpg,1
Guéhi-1677,Guéhi,Crystal Palace,Defender,90,-1,1,4.5,Guéhi,Marc,209036.jpg,4
Mitchell-1707,Mitchell,Crystal Palace,Defender,90,1,1,4.5,Mitchell,Tyrick,244723.jpg,1
Evans-24910,Evans,Leicester,Defender,90,1,1,4.5,Evans,Jonny,37642.jpg,1
Amartey-25710,Amartey,Leicester,Defender,90,1,1,4.5,Amartey,Daniel,155569.jpg,1
Castagne-25810,Castagne,Leicester,Defender,90,8,1,4.5,Castagne,Timothy,166477.jpg,3
Justin-26810,Justin,Leicester,Defender,90,1,1,4.5,Justin,James,220627.jpg,3
W.Fofana-27210,W.Fofana,Leicester,Defender,90,1,1,4.5,Fofana,Wesley,444463.jpg,3
Smith-573,Smith,Bournemouth,Defender,90,5,1,4.5,Smith,Adam,54469.jpg,4
Mepham-713,Mepham,Bournemouth,Defender,90,7,1,4.5,Mepham,Chris,223911.jpg,1
Kelly-733,Kelly,Bournemouth,Defender,90,12,1,4.5,Kelly,Lloyd,235530.jpg,3
Zemura-763,Zemura,Bournemouth,Defender,90,6,1,4.5,Zemura,Jordan,447932.jpg,1
Ream-2019,Ream,Fulham,Defender,90,1,1,4.5,Ream,Tim,82514.jpg,2
Tosin-2099,Tosin,Fulham,Defender,90,1,1,4.5,Adarabioyo,Tosin,109646.jpg,2
Tete-2159,Tete,Fulham,Defender,90,3,1,4.5,Tete,Kenny,167074.jpg,3
Robinson-2179,Robinson,Fulham,Defender,90,1,1,4.5,Robinson,Antonee,169528.jpg,4
Digne-332,Digne,Aston Villa,Defender,90,1,1,5.0,Digne,Lucas,101188.jpg,3
Cash-432,Cash,Aston Villa,Defender,90,1,1,5.0,Cash,Matty,199796.jpg,3
Konsa-442,Konsa,Aston Villa,Defender,90,1,1,4.5,Konsa Ngoyo,Ezri,199798.jpg,1
Diego Carlos-502,Diego Carlos,Aston Villa,Defender,90,1,1,5.0,Santos Silva,Diego Carlos,165659.jpg,2
Bednarek-41017,Bednarek,Southampton,Defender,90,0,1,4.5,Bednarek,Jan,171771.jpg,1
Maguire-33014,Maguire,Man Utd,Defender,90,0,1,5.0,Maguire,Harry,95658.jpg,2
Dalot-34214,Dalot,Man Utd,Defender,90,1,1,4.5,Dalot Teixeira,Diogo,216051.jpg,2
Martínez-53314,Martínez,Man Utd,Defender,90,0,1,4.5,Martínez,Lisandro,221820.jpg,2
Jansson-784,Jansson,Brentford,Defender,90,1,1,4.5,Jansson,Pontus,61810.jpg,2
Henry-854,Henry,Brentford,Defender,90,4,1,4.5,Henry,Rico,194010.jpg,2
